Question,Answer
What are Open Educational Resources?,"## What Are Open Educational Resources?
Open Educational Resources are educational materials offered freely and openly for anyone to use. They are usually licensed to allow sharing, remixing, or customization. The resources can include textbooks, full courses, course materials, modules, streaming videos, tests, software, and any other resources used to support access to knowledge.
The image used for the 5 Rs of OER was retrieved from [Making Open Educational Resources: A Guide for Students by Students](https://nam02.safelinks.protection.outlook.com/?url=https%3A%2F%2Fecampusontario.pressbooks.pub%2Foer4students%2Fchapter%2Fwhat-are-oers-and-why-use-them%2F&data=05%7C01%7CDILLARDA%40mailbox.sc.edu%7C2e8b287b0624446f35d808db18dafa12%7C4b2a4b19d135420e8bb2b1cd238998cc%7C0%7C0%7C638131101012281011%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C3000%7C%7C%7C&sdata=LMhhEH%2FmtLBYOO7OJd%2BB4YUHZHFnzsRhGgugApTiYiY%3D&reserved=0) and is available under a [Creative Commons Attribution Non Commercial ShareAlike 4.0 International License](https://nam02.safelinks.protection.outlook.com/?url=https%3A%2F%2Fcreativecommons.org%2Flicenses%2Fby-nc-sa%2F4.0%2F&data=05%7C01%7CDILLARDA%40mailbox.sc.edu%7C2e8b287b0624446f35d808db18dafa12%7C4b2a4b19d135420e8bb2b1cd238998cc%7C0%7C0%7C638131101012281011%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C3000%7C%7C%7C&sdata=UtItNIycH%2BA%2F32ZrBi1GOHgO8cfG9PrURIc6A6MxFfI%3D&reserved=0).

[Learn more here](http://guides.library.sc.edu/OER)"
What are some statistics about textbook costs?,"## Did You Know?
The average student should budget $1298 a year for books and supplies. - [College Board](https://bigfuture.collegeboard.org/pay-for-college/college-costs/quick-guide-college-costs)
64.2% of students have chosen not to purchase a textbook because it was too expensive. - [2018 Student Textbook and Course Materials Survey ](https://dlss.flvc.org/documents/210036/1314923/2018+Student+Textbook+and+Course+Materials+Survey+Report+--+FINAL+VERSION+--+20190308.pdf/07478d85-89c2-3742-209a-9cc5df8cd7ea)
Textbook costs have risen more than 1,000 percent since the 1970's. - [NBC](https://www.nbcnews.com/feature/freshman-year/college-textbook-prices-have-risen-812-percent-1978-n399926).

[Learn more here](http://guides.library.sc.edu/OER)"
What is the impact of Open Educational Resources?,"## OER Impact
The use of Open Educational Resources (OER) can benefit students and instructors. Research has shown that:
- [The use of OER can save students money without negatively impacting learning outcomes.](https://openpraxis.org/index.php/OpenPraxis/article/view/505)
- [OER adoption improves end-of-course grades and decreases course withdrawals and the grades of D and F (DFW grades). ](http://www.isetl.org/ijtlhe/pdf/IJTLHE3386.pdf)
At the University of South Carolina, the use of OER and other freely-available materials has saved students over $3,000,000 since 2015.

[Learn more here](http://guides.library.sc.edu/OER)"
What are predatory publishers?,"## Predatory Publishers
Frequently, these publishers do not initially mention an author's fee, but may later ask for a publication fee under the guise of operating as a quality journal.
[Learn more here](https://guides.library.sc.edu/openaccessresources/predatory)"
How can I determine if a journal is predatory?,"## Determining if a Journal is Predatory
- Closely examine the editor and staff of the journal. Is a single editor responsible for a large number of journals across a publisher? Is there a lack of information or diversity on the editorial or review board?
- Does the publisher fail to list transparent policies and fees? Did the publisher's operations begin with a large fleet of quickly created journals?
- Is the contact information for the publisher, editors, or review board difficult to find or not present?
- Is the journal title misleading, or does it list a false impact factor or other quality-determining metrics?
- Does the journal send spam requests for manuscripts or peer reviews to scholars not qualified to write on or review the subject in question?
- Are previously published articles low quality or re-published without proper permissions from other journals?
[Learn more here](https://guides.library.sc.edu/openaccessresources/predatory)"
What industry memberships indicate a journal is not predatory?,"## Industry Memberships
Membership in the [Directory of Open Access Journals](https://doaj.org/) or the [Open Access Scholarly Publishers Association](http://oaspa.org/) is a good indicator that a journal is not predatory. You can check these sites to help you determine that the journal you are interested is legitimate.
[Learn more here](https://guides.library.sc.edu/openaccessresources/predatory)"
Why is backing up data important?,"Backing up data is an essential part of the data management process. Hardware failure, virus infection, hacking, and loss or theft of hardware are all common realities that can have a devastating effect on research if proper back-up hasn't taken place.

See the [UK Data Archive's guidelines on Backing-up Data](https://www.ukdataservice.ac.uk/manage-data/store.aspx) for more information.

[Learn more here](https://guides.library.sc.edu/c.php?g=592274&p=4573568)"
What is the difference between back-up and storage?,"Back-up and storage are related concepts, but are not the same thing. While storage refers to ways of preserving files for the short- or long-term, back-up refers to preserving copies of your files in different physical locations and using different media to protect against data loss.

[Learn more here](https://guides.library.sc.edu/c.php?g=592274&p=4573568)"
What is the 3-2-1 rule for backing up data?,"A good rule of thumb for backing up data is the 3-2-1 rule. It states that at least 3 total copies of data should exist, 2 of which are local but on different media (devices), and at least 1 copy should be stored offsite. The offsite storage is important in case of fires, floods, or theft.

[Learn more here](https://guides.library.sc.edu/c.php?g=592274&p=4573568)"
What are some resources for understanding data privacy?,"While information security is concerned with protection, privacy is concerned with the sensitivity of data, the justification for collecting data, and decisions about notification and sharing. International, Federal, and State legislation and regulations may apply. Privacy issues vary greatly by location and subject matter of data, posing significant liabilities, especially with regard to protected personal information (PPI) and personal identifying information (PII). A few resources of note include:
- [European Union General Data Protection Regulations (GDPR)](https://gdpr-info.eu/)
- [South Carolina Enterprise Privacy Office](https://admin.sc.gov/services/technology-services/information-security-privacy)
- [SC-DIS 200, Information Security and Privacy Standards](https://www.admin.sc.gov/sites/admin/files/Documents/PMOOTIS/SCDIS-200_Information_Security_and_Privacy_Standards.xlsx)

[Learn more here](https://guides.library.sc.edu/c.php?g=592274&p=4573568)"
What university policies apply to research data management?,"The following university policies are potentially applicable to research data management.
- [Information Security IT 3.00](http://www.sc.edu/policies/it300.pdf)
- [Archives and Record Management LIB 1.03](http://www.sc.edu/policies/lib103.pdf)
- [Research Data Access and Retention RSCH 1.05](http://www.sc.edu/policies/rsch105.pdf)
- [Data & Information Governance UNIV 1.51](http://www.sc.edu/policies/univ151.pdf)
- [Responsible Use of Data, Technology, and User Credentials UNIV 1.52 ](http://www.sc.edu/policies/univ152.pdf)

[Learn more here](https://guides.library.sc.edu/c.php?g=592274&p=4573568)"
What services does OSF integrate with?,"## OSF Integrations
OSF integrates with many services you might already use.
- [](https://help.osf.io/hc/en-us/categories/360001495973-Creating-and-Managing-Projects)

[Learn more here](https://guides.library.sc.edu/c.php?g=934685&p=6737464)"
What are some example projects that use digital scholarship?,"## Example Projects
- [Blevins, Cameron. (April 2010) Topic Modeling Marth Ballard's Diary. Blog Post](http://www.cameronblevins.org/posts/topic-modeling-martha-ballards-diary/)
- [Block, Sharon. (January 2006) Doing More with Digitization. Common Place. Vol.6 No.2](http://commonplace.online/article/doing-more-with-digitization/)
- [Brown, Nicole et al. ( Aug 2019) In Search of Zora/When Metadata Isn’t Enough: Rescuing the Experiences of Black Women Through Statistical Modeling. Library Metadata. Vol 19. Issue 3-4, Page 141](https://login.pallas2.tcl.sc.edu/login?url=https://www.tandfonline.com/doi/full/10.1080/19386389.2019.1652967)
- [Emerging Technology and arXiv.(July 2016) Data Mining Reveals Six Basic Emotional Arcs of Storytelling, MIT Review](https://www.technologyreview.com/s/601848/data-mining-reveals-the-six-basic-emotional-arcs-of-storytelling/)
- [King, Lindsey and Peter Leonard. (2019) Robots Reading Vogue. Yale University.](http://dh.library.yale.edu/projects/vogue/)
- [Mitts, Tamar. (March 31, 2017) From Isolation to Radicalization: Anti-Muslim Hostility and Support for ISIS in the West. SSRN](http://dx.doi.org/10.2139/ssrn.2795660)
- [Mueller, Hannes and Christopher Rauh. (May 2018) Reading Between the Lines: Prediction of Political Violence Using Newspaper Text. American Political Science Review. Vol. 112, Issue 2, Page 358](https://doi.org/10.1017/S0003055417000570)
- [National Science Foundation. (2016) Rescued History: Using Big Data. Press Release](https://www.nsf.gov/discoveries/disc_summ.jsp?cntn_id=137797&org=NSF)
- [Nelson, Robert. Mining the Dispatch Digital Scholarship Lab, University of Richmond.](http://dsl.richmond.edu/dispatch/)
- [Newspapers as Data Project](https://libguides.library.arizona.edu/newspapers-as-data)[more...](javascript:void(0);)[less...](javascript:void(0);)
- [On the Books: Jim Crow and Algorithms of Resistance](https://onthebooks.lib.unc.edu/)[more...](javascript:void(0);)[less...](javascript:void(0);)

[Learn more here](https://guides.library.sc.edu/c.php?g=1341033&p=9886548)"
What are some USC related digital scholarship projects?,"## USC Related Work
- [Gavin, Michael. (2023) Literary Mathematics](https://literarymathematics.org/)
- [On the Books: Jim Crow and Algorithms of Resistance](https://onthebooks.lib.unc.edu/)[more...](javascript:void(0);)[less...](javascript:void(0);)

[Learn more here](https://guides.library.sc.edu/c.php?g=1341033&p=9886548)"
How can I make my class affordable?,"## Making Your Class Affordable
Many faculty members across USC have converted traditional courses to zero cost courses. How can you do the same? There's no one answer for everyone, but you can use a mix of Open Educational Resources, library-licensed resources, and items freely available or in the public domain on the web. Don't get discouraged if you do not immediately see an open textbook that fits your needs. A librarian can help you locate alternate resources to make your class affordable.

## Using OER
Using Open Educational Resources (OER) is one way to make your class affordable. Most OER are funded by governments, foundation grants, or universities and are created, edited, and peer-reviewed by academics, ensuring that their quality is comparable to traditional textbooks. While many OER are created for lower level, high-enrollment courses, more are being developed for higher-level specialized courses. To locate OER to use in your classes, visit [http://guides.library.sc.edu/OER/opentextbooks](http://guides.library.sc.edu/OER/opentextbooks).

## Using Library-Licensed Resources
While library-licensed resources are not OER and may come with copyright and licensing restrictions, using materials available through your library can save your students money. The library offers e-books, databases, and other digital resources that can be accessed through Blackboard or your syllabus.

[Learn more here](https://guides.library.sc.edu/OER/affordableclass)"
What support does the library offer for course materials?,"## Course Materials Support
The library will scan library materials or find links to resources for you at no cost in Blackboard. We will also address copyright concerns connected to posting these materials. To provide this service, we need a list of the reading assignments as well as the dates of the assignments.
- [Course Materials Support](https://sc.edu/about/offices_and_divisions/university_libraries/find_services/faculty_services/course_materials/index.php)"
What are the SCoer Faculty Awards?,"## SCoer Faculty Awards
Check the [SCoer website](https://sc.edu/about/offices_and_divisions/university_libraries/find_services/faculty_services/course_materials/scoer/index.php) for information on upcoming SCoer Awards.
- [2024 SCoer Winners](https://sc.edu/about/offices_and_divisions/university_libraries/exhibits_events_news/news/2024/scoer_winners_24.php)
- [2023 SCoer Winners](https://sc.edu/about/offices_and_divisions/university_libraries/exhibits_events_news/news/2023/scoer_winners_23.php)
- [2022 SCoer Winners](https://sc.edu/about/offices_and_divisions/university_libraries/exhibits_events_news/news/2022/scoer_2022.php)
- [2021 SCoer Winners](https://www.sc.edu/about/offices_and_divisions/university_libraries/exhibits_events_news/news/2021/scoer_2021.php)
- [2020 SCoer Winners](https://sc.edu/about/offices_and_divisions/university_libraries/exhibits_events_news/news/scoer2020.php)
- [2019 SCoer Winners](https://www.sc.edu/about/offices_and_divisions/university_libraries/exhibits_events_news/news/scoer_2019.php)
- [2018 SCoer Winners](https://www.sc.edu/about/offices_and_divisions/university_libraries/exhibits_events_news/news/2018/scoer_2018.php)"
What statewide initiatives are available to help adopt affordable resources?,"## Statewide Initiatives
Learn about [statewide initiatives](http://pascalsc.libguides.com/scale/faculty) to help you adopt affordable resources offered by the Partnership Among South Carolina Academic Libraries (PASCAL). PASCAL is currently accepting applications for the [Professors for Affordable Learning Award](https://pascalsc.libguides.com/scale/faculty/pal). Learn more from the PASCAL [website](http://pascalsc.libguides.com/scale/faculty)."
How can I get help locating affordable resources?,"## Get Help!
We are happy to offer a syllabus review service to help you locate affordable resources. Please fill out the template provided in the email below:
Email: [dillarda@mailbox.sc.edu](mailto:dillarda@mailbox.sc.edu?subject=Help%20locating%20affordable%20resources&body=Name%3A%0A%0ADepartment%3A%0A%0ACourse%3A%0A%0AReading%20List%20(please%20cut%20and%20paste%20your%20reading%20list)%3A%0A%0AIs%20there%20anything%20else%20you'd%20like%20to%20let%20us%20know%3F)

[Learn more here](https://guides.library.sc.edu/OER/affordableclass)"
What resources are available for research data management education?,"- [DataOne Research Data Management Education Modules](https://www.dataone.org/training/)
- [MANTRA](https://mantra.ed.ac.uk/)

[Learn more here](https://guides.library.sc.edu/c.php?g=592274&p=4581796)"
What is the problem with published research findings?,"Statistically significant findings are more likely to be published. Because of bias and [](https://login.pallas2.tcl.sc.edu/login?url=https://journals.sagepub.com/doi/full/10.1177/2515245917747646), much of the research published in journals is irreproducible.

[Learn more here](https://guides.library.sc.edu/c.php?g=934685&p=6738400)"
What are Registered Reports in OSF?,"Registrations in OSF are time-stamped, read-only versions of a research plan that explain how data will be collected, manipulated, and analyzed in advance. Providing this [](https://cos.io/rr/) to a participating journal effectively creates two peer-review processes.

[Learn more here](https://guides.library.sc.edu/c.php?g=934685&p=6738400)"
What happens to articles resulting from accepted Registered Reports?,"Articles resulting from accepted Registered Reports are accepted by the journal regardless of outcome after the peer reviewed quality checks are met.

[Learn more here](https://guides.library.sc.edu/c.php?g=934685&p=6738400)"
Where can I find resources for registering my project?,"- [](https://help.osf.io/hc/en-us/articles/360019930893-Register-Your-Project)
- [](https://cos.io/blog/10-preregistration-tips/)
- [](https://osf.io/93znh/?_ga=2.14338366.884352988.1557167302-1022953819.1557167302)
- [](https://osf.io/458u9/)
- [](https://osf.io/e6auq/wiki/Example%20Preregistrations/?_ga=2.77487644.801033972.1522869063-47245329.1522869063)

[Learn more here](https://guides.library.sc.edu/c.php?g=934685&p=6738400)"
What open textbook sources are available?,"## Open Textbooks
- [Open Textbook Library](https://open.umn.edu/opentextbooks/)
- [MERLOT](https://www.merlot.org/)
- [OER Commons](https://www.oercommons.org)
- [OpenStax](https://openstax.org)
- [LibreTexts](https://libretexts.org/)
- [Milne Open Textbooks](https://milneopentextbooks.org/category/available-now/)

[Learn more here](https://guides.library.sc.edu/OER/opentextbooks)"
Is there a way to search across multiple OER sources?,"## Search Across OER Sources
[](https://oasis.geneseo.edu/advanced_search.php)

[Learn more here](https://guides.library.sc.edu/OER/opentextbooks)"
What are the SCoer Awards?,"## Faculty in Arts and Sciences, Education Honored with 2024 SCoer Awards
Posted on: June 14, 2024; Updated on: June 14, 2024
By Leslie Haynsworth, [haynswor@mailbox.sc.edu](mailto:haynswor@mailbox.sc.edu)
The SCoer Awards recognize and support faculty who use open educational resources in their classrooms. To date, USC faculty who have worked with the Libraries to adopt affordable learning materials have saved students more than $3 million in textbook costs.

Given annually by University Libraries, the SCoer Awards recognize faculty who use open educational resources in their classrooms.

[Learn more here](https://sc.edu/about/offices_and_divisions/university_libraries/exhibits_events_news/news/2024/scoer_winners_24.php)"
How do the SCoer Awards work?,"To participate in the program, Track One honorees attend a workshop hosted by University Libraries to help them identify or create OER materials for their courses. They commit to switching from the use of a traditional textbook to an OER or library-based resource in one of their classes and are recognized with a certificate and a $1,000 award.

Track Two honorees are recognized for their existing use of OER materials and agree to serve as affordable learning advocates and to create resources for other instructors interested in transitioning to the use of affordable learning materials.

Award recipients are selected by USC Student Government representatives and University Libraries staff.

[Learn more here](https://sc.edu/about/offices_and_divisions/university_libraries/exhibits_events_news/news/2024/scoer_winners_24.php)"
What do the winners of the SCoer Awards say about the program?,"Instructor, Department of English: I know from personal experience how book costs can prevent equal learning. I borrowed all my undergraduate books from my university library! I also have a freshman student in the family starting at USC this fall so will experience price shock and textbook buying first-hand.

Associate Professor, Department of Teacher Education: As an educator, I am always reflecting on how I can make my courses more engaging for students as I develop a challenging curriculum.  I am drawn to the opportunity to learn new things. Participating in this program will allow me to develop new skills as well as improve existing ones.  Creating a variety of resources to help my students will ensure that they can make connections to the content and engage in the learning.

Professor of Philosophy and Director of Undergraduate Studies, Women’s and Gender Studies: I have been using no-cost materials that the library licenses and owns since 2013. It has made teaching so much easier I can't believe everyone doesn't do it…. Using this library service has often felt like a secret; I don't know anyone else who uses it. I think it's important that more people realize that it's available and understand how using it can make teaching easier and more accessible.

Professor of History and Women's and Gender Studies: I have transitioned to supplying my students with all of the resources necessary for these courses using library databases such as Project Muse, JStor and others. I also utilize online newspaper collections so that students can do primary research for their projects. I provide ebooks when necessary and have relied on texts and open access materials that do not require to make any purchases….Part of the reason that students enjoy the course is because they can take it from any location and have the documents, videos, and assignments readily available….I am happy to share the resources I use with others, as I find that students have tremendous success in these courses. They also become more familiar with the library and all of the wonderful collections that are available to them.

[Learn more here](https://sc.edu/about/offices_and_divisions/university_libraries/exhibits_events_news/news/2024/scoer_winners_24.php)"
Who are the winners of the 2024 SCoer Awards?,"# 2024 TRACK ONE SCOER AWARD WINNER
Nicola Waldron
# 2024 TRACK ONE SCOER AWARD WINNER
Toni Williams
# 2024 TRACK TWO SCOER AWARD WINNER
Leah McClimans
# 2024 TRACK TWO SCOER AWARD WINNER
Lauren Sklaroff

[Learn more here](https://sc.edu/about/offices_and_divisions/university_libraries/exhibits_events_news/news/2024/scoer_winners_24.php)"
What are the SCoer awards and who are this year's recipients?,"## Four Faculty Members Recognized with 2023 SCoer Awards
Posted on: August 22, 2023; Updated on: August 22, 2023
By Leslie Haynsworth 
Congratulations to the four USC faculty members who are recipients of this year’s University Libraries SCoer awards: , College of Education,, College of Education, , College of Education and , Darla Moore School of Business.
Given annually by University Libraries, the SCoer awards recognize faculty who use Open Educational Resources (OER) in their classrooms to save their students money."
What is required for faculty members to participate in the SCoer program?,"To participate in the program, winning faculty members each attend a one-hour workshop hosted by University Libraries to help them identify or create OER resources that fits the needs of their course with all sorts of open educational resources."
What are the benefits of using Open Educational Resources (OER) according to the award recipients?,"The award recipients mentioned several benefits, including reducing costs for students, promoting equity across campus, allowing students to flourish in the classroom, and providing a more diverse body of knowledge and content."
What are some quotes from the award recipients on why they chose to use OER?,"One recipient mentioned that 'I have always kept cost in mind since I started to teach at USC. As a graduate student, I had to save money at the beginning of each semester to purchase textbooks.' Another recipient stated that 'OER has been a central focus of my research endeavors, and I have conducted multiple research projects promoting the adoption of OER in K-12 and higher education.'"
How long has the SCoer faculty awards program been running?,"# Since 2015
Now in its ninth year, the SCoer faculty awards encourage the use of [Open Educational Resources](https://guides.library.sc.edu/OER/OpenEducationalResources?_gl=1*1ox44gq*_ga*MTYxMDAyMTI4LjE2ODc1NDI3NDU.*_ga_ZGG9QXHNZF*MTY5MjcxOTI4OS44OC4xLjE2OTI3MTk4MDEuMC4wLjA.) (OER) – teaching, learning and research resources freely available to students."
Who are the 2023 SCoer award winners?,"# 2023 SCOER Award Winner
Michael Grant
# 2023 SCOER Award Winner
Jin Liu
# 2023 SCOER Award Winner
Hengtao Tang
# 2023 SCOER Award Winner
Kasie Whitener"
Where can I learn more about the SCoer awards?,[Learn more here](https://sc.edu/about/offices_and_divisions/university_libraries/exhibits_events_news/news/2023/scoer_winners_23.php)
What are the SCoer faculty awards?,"## Four faculty win SCoer awards for 2022
Congratulations to the four recipients of this year’s SCoer faculty awards. These instructors will create or incorporate Open Educational Resources (OER) into their classrooms, explore innovative pedagogical practices and save their students money.

The winners are , School of Journalism and Mass Communications, , Department of History, ,Department of Psychology and ,College of Education."
What do the winning faculty members have to do?,"To participate in the program, the winning faculty members each attend a one-hour workshop hosted by University Libraries to help them identify or create OER materials for their courses. They commit to switching from the use of a traditional textbook to an OER or library-licensed resource in one of their classes."
What do the SCoer award recipients receive?,Each winner receives a certificate and a $500 award.
How are the SCoer award recipients selected?,"The SCoer award recipients are selected by UofSC Student Government representatives and University Libraries staff.

The selection committee looks closely at three determining factors: applicants who showed a strong concern about the cost of education for undergraduate students, finding creative ways to alleviate barriers through OER and zero-cost textbooks."
What do the winners say about the SCoer awards?,"Meet this year’s winners:

Assistant Professor, School of Journalism and Mass Communications...

Associate Professor of History, Department of History...

Instructor, Department of Psychology...

Associate Professor, Instruction and Teacher Education..."
What is the history of the SCoer faculty awards?,"# Since 2015
Now in its eighth year, the SCoer faculty awards encourage the use of [Open Educational Resources (OER)](https://guides.library.sc.edu/OER/OpenEducationalResources) – teaching, learning and research resources freely available to students. The awards are sponsored by the University of South Carolina Libraries."
Who are the 2022 SCoer award winners?,"# 2022 SCOER Award Winner
Brett W.
# 2022 SCOER Award Winner
Coenen Snyder
# 2022 SCOER Award Winner
Loren Tharp
# 2022 SCOER Award Winner
Yang Wang"
Where can I learn more about the SCoer awards?,[Learn more here](https://sc.edu/about/offices_and_divisions/university_libraries/exhibits_events_news/news/2022/scoer_2022.php)
Who won the SCoer awards for 2021?,"## Four faculty win SCoer awards for 2021
Congratulations to the four recipients of this year’s SCoer faculty awards. These instructors will create or incorporate open educational resources and other free learning resources into their classrooms, exploring innovate new pedagogical practices, and in the process, save their students money.
The winners are , Department of Computer Science and Engineering, , Department of Psychology, ,Biological Sciences and ,College of Nursing."
What factors did the selection committee consider?,"The selection committee looks closely at three determining factors: applicants who showed a strong desire to learn the process of finding and using online educational resources, the potential for long-term financial savings for students, and the availability of OER materials on the subject taught, says , Scholarly Communication Librarian."
What do the winners plan to achieve with their awards?,"Meet this year’s winners:
I wrote a free textbook for upper-level robotics courses, but do not have experience identifying, selecting, and utilizing OER created by others, especially for lower-level courses like my UNIX/Linux Fundamentals course. The subject of this course is one that lends itself well to OER, compared to other aspects of computer science, because there is a long history and plenty of free materials. Students have told me that the current traditional textbooks are not helpful, so I suspect that an OER format may both improve learning outcomes and reduce the costs for students.
After years of teaching at UofSC, I can clearly identify the potential benefits of using affordable and accessible resources into my own classes. It seems to me that participating in this award program may greatly help me with this transition.
As a first-generation college student myself, I remember the struggle of having to decide between meals or textbooks. I remember the high cost of education being compounded by high textbook costs that seemed to provide just another barrier against an equitable educational experience. Now, as a faculty member at UofSC, I am focused on creating an equitable, anti-racist class for our students, and one of the direct ways I can take action is by offering a zero-cost course, in terms of needed materials. The pandemic has also brought to light the inequities in our community and in higher education. Equity is a concept that means a lot to me, and the more barriers I can help dismantle for the continued and augmented success of our students, the better, and this program will allow me the resources needed to do just that.
I am participating in this award program in order to enhance the overall course delivery modalities, engage students in meaningful learning, and cultivate a desire for students to embrace lifelong learning. I believe using innovative and intriguing strategies will better equip my students for success after college and allow them the opportunity to recognize that there are many ways to continue to grow and learn."
What is the SCoer faculty awards program?,"# Since 2015
Now in its seventh year, the SCoer faculty awards encourage the classroom use of [Open Educational Resources (OER)](https://guides.library.sc.edu/OER/OpenEducationalResources) – teaching, learning and research resources that are freely available to students. The awards  are sponsored by the University of South Carolina Libraries."
Who are the individual winners?,"# 2021 SCOER Award WINNER
Jason O'Kane
# 2021 SCoer Award Winner
Andy Schumpert
# 2021 SCOER Award WINNER
Kimberly Taylor"
Where can I learn more about the SCoer awards?,[Learn more here](https://www.sc.edu/about/offices_and_divisions/university_libraries/exhibits_events_news/news/2021/scoer_2021.php)
What is the SCoer Faculty Award?,"## Four faculty win SCoer awards for 2020
Congratulations to the four recipients of this year’s SCoer Faculty Awards. These instructors will incorporate freely-accessible resources in their classrooms, explore innovative, new pedagogical practices and save their students the cost of textbooks and supplemental materials.
Now in its sixth year, the SCoer Faculty Award encourages the classroom use of Open Educational Resources (OER) – teaching, learning and research resources that are freely available to faculty and students. The award is sponsored by the University of South Carolina Libraries."
Who won the SCoer Faculty Awards for 2020?,"The winners are , Department of Biological Sciences, , Department of Psychology, Department of Psychology, and , Department of Languages, Literature and Culture.

Meet this year’s winners:
### Gerald Brasington
I am a first-generation college and first-generation medical school graduate. Purchasing extremely expensive books caused financial hardship for me and my parents. I have dedicated my career to making materials low-cost or free so today's students will not face the same hardships as I did. Education is a gift, and I want to give that gift to my students without the fear or worry about affording the necessary materials.
### Amanda Fairchild
I am strongly invested in reducing course material costs. In my own studies, I always appreciated when professors offered a course pack or other material in lieu of a textbook. I would like to be able to provide a similar opportunity for my own students.
My colleague, Dr. Dexin Shi, and I both teach PSYC 227 and use the same textbook intentionally. We actively collaborate to coordinate course content to positively impact our students and improve our materials. I seek to collaborate with Dexin with this new open resource experience, so we can continue to optimize and streamline our course while reducing the costs students incur.
### Dexin Shi
As a college professor, I understand that textbooks can be expensive for students. Actually, price is one important factor for me when selecting textbooks for my classes. For example, I teach introduction to Statistics to psychology majors, and many textbooks cost over $100, and some even over $200. The cost of textbooks can be a burden for many students, given the number of classes they take. I am glad to learn about this award opportunity to develop a zero-cost course. I believe that free access to course materials could enhance the learning opportunities and outcome for my students.
### Ashley Williard
Especially during the COVID-19 crisis, it is crucial to democratize courses by making content affordable and accessible. Language textbooks are expensive, and it can be challenging to get French books shipped from abroad. Students already face enormous pressure from high tuition and an uncertain economy. By taking the expense of course materials out of the picture, all students can instead focus on content from day one of the semester, regardless of their financial situation. Providing equal access ensures a more fair, diverse and rich learning environment."
What do winners of the SCoer Faculty Award receive?,"Winners have shown great enthusiasm for using OER in their courses, and we congratulate them.
SCoer Faculty Awards are awarded on an annual basis. While the next award cycle will end in spring 2021, you can [learn about adopting OER here.](https://guides.library.sc.edu/OER)"
How can I learn more about the SCoer Faculty Award?,[Learn more here](https://sc.edu/about/offices_and_divisions/university_libraries/exhibits_events_news/news/scoer2020.php)
What is the SCoer Faculty Grant and who are this year's recipients?,"## Four faculty win SCoer grants for 2019
Congratulations to the four recipients of this year’s SCoer Faculty Grant. These instructors will create or incorporate open educational resources and other free learning resources into their classroom, exploring innovative new pedagogical practices and, in the process, save their students significant sums of money. The winners are , School of the Earth, Ocean and Environment; , Department of Mechanical Engineering; , Department of Chemistry and Biochemistry; and , Department of Geography.
Now in its fifth year, the SCoer Faculty Grant encourages the classroom use of Open Educational Resources (OER) – teaching, learning and research resources that are freely available to students. The grant is sponsored by the University of South Carolina Libraries."
What is required for faculty members to participate in the SCoer program?,"To participate in the program, the winning faculty members each attended a one-hour workshop hosted by the University Libraries to help them identify or create OER materials for their courses. They have committed to switching from the use of a traditional textbook to an OER or library-licensed resource in one of their classes."
How are SCoer Grant recipients selected?,"The SCoer Grant recipients are selected by Student Government representatives and members of the University Libraries. The selection committee looks closely at three determining factors: applicants who showed a strong desire to learn the process of finding and using online educational resources, the potential for long-term financial savings for students, and the availability of OER materials on the subject taught, said , Scholarly Communication Librarian."
What are the goals and motivations of this year's SCoer Grant recipients?,"### Meredith DeBoom
I am a first-generation college graduate ... When I began my career as an Assistant Professor at USC in Fall 2018, I made a commitment to myself that improving the inclusivity of higher education would be a priority in my career. Rather than walking away with an expensive textbook, I would much rather my students leave with a clear understanding of how they can apply geographic tools and theories in their careers.
### Austin Downey
I want to use this program to help me to develop Open Educational Resources (OER) (textbook, code, and YouTube Videos) and a no-cost Mechanical Vibrations (EMCH 330) course that will be free of any copyright issues or software costs, allowing it to be freely shared.
### Jennifer Pournelle
As a primary instructor for a Carolina Core science course open to all non-science majors, I have the privilege of working with a huge share of students unfamiliar with, and often terrified by, science terms and practices they view as mystifying and inapplicable.
### Timothy Shaw
I have gotten permission to teach from the OpenStax text on a trial basis this fall and develop a slide set for later adoption in more sections based on the OER commons resources."
Who are the SCoer Grant recipients?,"## SCoer Grant Recipient
Meredith DeBoom
## SCoer Grant Recipient
Austin Downey
## SCoer Grant Recipient
Jennifer Pournelle
## SCoer Grant Recipient
Timothy Shaw"
Where can I learn more about the SCoer Faculty Grant?,[Learn more here](https://www.sc.edu/about/offices_and_divisions/university_libraries/exhibits_events_news/news/scoer_2019.php)
Who won the SCoer! Faculty Grant for 2018?,"## Four faculty win SCoer! grants for 2018
Congratulations to the four recipients of this year’s SCoer! Faculty Grant. They will learn how to use freely accessible resources in their classrooms and, in the process, save their students a significant sum of money. The winners are , Department of Retailing and Interdisciplinary Studies; , Department of International Business and International Activities; , Department of Language, Literature and Cultures; and , Department of Management Science.
Meet this year’s winners:
### Marianne Bickle
### David Hudgens
### Rebecca Janzen
### Jayanth Jayaram
[Learn more here](https://www.sc.edu/about/offices_and_divisions/university_libraries/exhibits_events_news/news/2018/scoer_2018.php)"
